Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
6.142685500000000,50,0xD1,0xFF,Read,ACK
6.142901750000000,50,0xD1,0xFF,Read,ACK
6.143118000000000,50,0xD1,0x45,Read,ACK
6.143334250000000,50,0xD1,0x81,Read,ACK
6.143550500000000,50,0xD1,0xFF,Read,ACK
6.143766500000000,50,0xD1,0xFF,Read,ACK
6.143982750000000,50,0xD1,0xFA,Read,ACK
6.144199000000000,50,0xD1,0x72,Read,ACK
6.144415000000000,50,0xD1,0x00,Read,ACK
6.144631250000000,50,0xD1,0x00,Read,ACK
6.144847500000000,50,0xD1,0x00,Read,ACK
6.145063750000000,50,0xD1,0x00,Read,NAK
6.146054750000000,51,0xD0,0x6D,Write,ACK
6.146271000000000,51,0xD0,0x00,Write,ACK
6.146802500000000,52,0xD0,0x6E,Write,ACK
6.147018750000000,52,0xD0,0x40,Write,ACK
6.148065750000000,53,0xD0,0x6F,Write,ACK
6.148282000000000,53,0xD0,0x00,Write,ACK
6.148498000000000,53,0xD0,0x00,Write,ACK
6.148714250000000,53,0xD0,0x03,Write,ACK
6.148930500000000,53,0xD0,0xE8,Write,ACK
6.149146750000000,53,0xD0,0x00,Write,ACK
6.149363000000000,53,0xD0,0x00,Write,ACK
6.149579250000000,53,0xD0,0x00,Write,ACK
6.149795250000000,53,0xD0,0x01,Write,ACK
6.150011500000000,53,0xD0,0x00,Write,ACK
6.150227500000000,53,0xD0,0x01,Write,ACK
6.150444000000000,53,0xD0,0x7F,Write,ACK
6.150660000000000,53,0xD0,0xFF,Write,ACK
6.150876250000000,53,0xD0,0xFF,Write,ACK
6.151092500000000,53,0xD0,0xFE,Write,ACK
6.151308750000000,53,0xD0,0x80,Write,ACK
6.151524750000000,53,0xD0,0x01,Write,ACK
6.152082500000000,54,0xD0,0x6D,Write,ACK
6.152298500000000,54,0xD0,0x00,Write,ACK
6.152830000000000,55,0xD0,0x6E,Write,ACK
6.153046250000000,55,0xD0,0x40,Write,ACK
6.153580750000000,56,0xD0,0x6F,Write,ACK
6.154089250000000,57,0xD1,0x00,Read,ACK
6.154305250000000,57,0xD1,0x00,Read,ACK
6.154521500000000,57,0xD1,0x03,Read,ACK
6.154737750000000,57,0xD1,0xE8,Read,ACK
6.154953750000000,57,0xD1,0x00,Read,ACK
6.155170000000000,57,0xD1,0x00,Read,ACK
6.155386000000000,57,0xD1,0x00,Read,ACK
6.155602250000000,57,0xD1,0x01,Read,ACK
6.155818500000000,57,0xD1,0x00,Read,ACK
6.156034500000000,57,0xD1,0x01,Read,ACK
6.156250750000000,57,0xD1,0x7F,Read,ACK
6.156466750000000,57,0xD1,0xFF,Read,ACK
6.156683000000000,57,0xD1,0xFF,Read,ACK
6.156899250000000,57,0xD1,0xFE,Read,ACK
6.157115250000000,57,0xD1,0x80,Read,ACK
6.157331500000000,57,0xD1,0x01,Read,NAK
6.158322250000000,58,0xD0,0x6D,Write,ACK
6.158538250000000,58,0xD0,0x00,Write,ACK
6.159069750000000,59,0xD0,0x6E,Write,ACK
6.159286000000000,59,0xD0,0x50,Write,ACK
6.160333000000000,60,0xD0,0x6F,Write,ACK
6.160549000000000,60,0xD0,0x00,Write,ACK
6.160765250000000,60,0xD0,0x1B,Write,ACK
6.160981500000000,60,0xD0,0x00,Write,ACK
6.161197500000000,60,0xD0,0x00,Write,ACK
6.161413750000000,60,0xD0,0x00,Write,ACK
6.161630000000000,60,0xD0,0x00,Write,ACK
6.161846250000000,60,0xD0,0x00,Write,ACK
6.162062500000000,60,0xD0,0x00,Write,ACK
6.162278500000000,60,0xD0,0x00,Write,ACK
6.162494750000000,60,0xD0,0x00,Write,ACK
6.162711000000000,60,0xD0,0x00,Write,ACK
6.162927250000000,60,0xD0,0x00,Write,ACK
6.163143500000000,60,0xD0,0x00,Write,ACK
6.163359500000000,60,0xD0,0x00,Write,ACK
6.163575750000000,60,0xD0,0x00,Write,ACK
6.163792000000000,60,0xD0,0x00,Write,ACK
6.164349500000000,61,0xD0,0x6D,Write,ACK
6.164565500000000,61,0xD0,0x00,Write,ACK
6.165097000000000,62,0xD0,0x6E,Write,ACK
6.165313250000000,62,0xD0,0x50,Write,ACK
6.165847750000000,63,0xD0,0x6F,Write,ACK
6.166356000000000,64,0xD1,0x00,Read,ACK
6.166572250000000,64,0xD1,0x1B,Read,ACK
6.166788500000000,64,0xD1,0x00,Read,ACK
6.167004750000000,64,0xD1,0x00,Read,ACK
6.167220750000000,64,0xD1,0x00,Read,ACK
6.167437000000000,64,0xD1,0x00,Read,ACK
6.167653000000000,64,0xD1,0x00,Read,ACK
6.167869250000000,64,0xD1,0x00,Read,ACK
6.168085500000000,64,0xD1,0x00,Read,ACK
6.168301500000000,64,0xD1,0x00,Read,ACK
6.168517750000000,64,0xD1,0x00,Read,ACK
6.168734000000000,64,0xD1,0x00,Read,ACK
6.168950000000000,64,0xD1,0x00,Read,ACK
6.169166250000000,64,0xD1,0x00,Read,ACK
6.169382250000000,64,0xD1,0x00,Read,ACK
6.169598500000000,64,0xD1,0x00,Read,NAK
6.170589250000000,65,0xD0,0x6D,Write,ACK
6.170805500000000,65,0xD0,0x00,Write,ACK
6.171337000000000,66,0xD0,0x6E,Write,ACK
6.171553250000000,66,0xD0,0x60,Write,ACK
6.172600000000000,67,0xD0,0x6F,Write,ACK
6.172816250000000,67,0xD0,0x00,Write,ACK
6.173032500000000,67,0xD0,0x3E,Write,ACK
6.173248500000000,67,0xD0,0x03,Write,ACK
6.173464750000000,67,0xD0,0x30,Write,ACK
6.173681000000000,67,0xD0,0x40,Write,ACK
6.173897000000000,67,0xD0,0x00,Write,ACK
6.174113250000000,67,0xD0,0x00,Write,ACK
6.174329500000000,67,0xD0,0x00,Write,ACK
6.174545750000000,67,0xD0,0x02,Write,ACK
6.174761750000000,67,0xD0,0xCA,Write,ACK
6.174978000000000,67,0xD0,0xE3,Write,ACK
6.175194250000000,67,0xD0,0x09,Write,ACK
6.175410500000000,67,0xD0,0x3E,Write,ACK
6.175626500000000,67,0xD0,0x80,Write,ACK
6.175842750000000,67,0xD0,0x00,Write,ACK
6.176059000000000,67,0xD0,0x00,Write,ACK
6.176616500000000,68,0xD0,0x6D,Write,ACK
6.176832500000000,68,0xD0,0x00,Write,ACK
6.177364000000000,69,0xD0,0x6E,Write,ACK
6.177580000000000,69,0xD0,0x60,Write,ACK
6.178114750000000,70,0xD0,0x6F,Write,ACK
6.178623000000000,71,0xD1,0x00,Read,ACK
6.178839250000000,71,0xD1,0x3E,Read,ACK
6.179055250000000,71,0xD1,0x03,Read,ACK
6.179271500000000,71,0xD1,0x30,Read,ACK
6.179487750000000,71,0xD1,0x40,Read,ACK
6.179703750000000,71,0xD1,0x00,Read,ACK
6.179920000000000,71,0xD1,0x00,Read,ACK
6.180136250000000,71,0xD1,0x00,Read,ACK
6.180352250000000,71,0xD1,0x02,Read,ACK
6.180568500000000,71,0xD1,0xCA,Read,ACK
6.180784500000000,71,0xD1,0xE3,Read,ACK
6.181000750000000,71,0xD1,0x09,Read,ACK
6.181217000000000,71,0xD1,0x3E,Read,ACK
6.181433000000000,71,0xD1,0x80,Read,ACK
6.181649250000000,71,0xD1,0x00,Read,ACK
6.181865500000000,71,0xD1,0x00,Read,NAK
6.182856250000000,72,0xD0,0x6D,Write,ACK
6.183072250000000,72,0xD0,0x00,Write,ACK
6.183603750000000,73,0xD0,0x6E,Write,ACK
6.183820000000000,73,0xD0,0x70,Write,ACK
6.184866750000000,74,0xD0,0x6F,Write,ACK
6.185082750000000,74,0xD0,0x20,Write,ACK
6.185299000000000,74,0xD0,0x00,Write,ACK
6.185515250000000,74,0xD0,0x00,Write,ACK
6.185731500000000,74,0xD0,0x00,Write,ACK
6.185947750000000,74,0xD0,0x00,Write,ACK
6.186163750000000,74,0xD0,0x00,Write,ACK
6.186380000000000,74,0xD0,0x00,Write,ACK
6.186596250000000,74,0xD0,0x00,Write,ACK
6.186812250000000,74,0xD0,0x40,Write,ACK
6.187028500000000,74,0xD0,0x00,Write,ACK
6.187244750000000,74,0xD0,0x00,Write,ACK
6.187461000000000,74,0xD0,0x00,Write,ACK
6.187677000000000,74,0xD0,0x60,Write,ACK
6.187893250000000,74,0xD0,0x00,Write,ACK
6.188109500000000,74,0xD0,0x00,Write,ACK
6.188325750000000,74,0xD0,0x00,Write,ACK
6.188883000000000,75,0xD0,0x6D,Write,ACK
6.189099250000000,75,0xD0,0x00,Write,ACK
6.189630750000000,76,0xD0,0x6E,Write,ACK
6.189847000000000,76,0xD0,0x70,Write,ACK
6.190381500000000,77,0xD0,0x6F,Write,ACK
6.190890000000000,78,0xD1,0x20,Read,ACK
6.191106000000000,78,0xD1,0x00,Read,ACK
6.191322250000000,78,0xD1,0x00,Read,ACK
6.191538500000000,78,0xD1,0x00,Read,ACK
6.191754500000000,78,0xD1,0x00,Read,ACK
6.191970750000000,78,0xD1,0x00,Read,ACK
6.192186750000000,78,0xD1,0x00,Read,ACK
6.192403000000000,78,0xD1,0x00,Read,ACK
6.192619250000000,78,0xD1,0x40,Read,ACK
6.192835250000000,78,0xD1,0x00,Read,ACK
6.193051500000000,78,0xD1,0x00,Read,ACK
6.193267750000000,78,0xD1,0x00,Read,ACK
6.193483750000000,78,0xD1,0x60,Read,ACK
6.193700000000000,78,0xD1,0x00,Read,ACK
6.193916250000000,78,0xD1,0x00,Read,ACK
6.194132500000000,78,0xD1,0x00,Read,NAK
6.195123250000000,79,0xD0,0x6D,Write,ACK
6.195339250000000,79,0xD0,0x00,Write,ACK
6.195870750000000,80,0xD0,0x6E,Write,ACK
6.196087000000000,80,0xD0,0x80,Write,ACK
6.197133750000000,81,0xD0,0x6F,Write,ACK
6.197349750000000,81,0xD0,0x41,Write,ACK
6.197566000000000,81,0xD0,0xFF,Write,ACK
6.197782250000000,81,0xD0,0x00,Write,ACK
6.197998250000000,81,0xD0,0x00,Write,ACK
6.198214500000000,81,0xD0,0x00,Write,ACK
6.198430750000000,81,0xD0,0x00,Write,ACK
6.198647000000000,81,0xD0,0x0B,Write,ACK
6.198863000000000,81,0xD0,0x2A,Write,ACK
6.199079250000000,81,0xD0,0x00,Write,ACK
6.199295250000000,81,0xD0,0x00,Write,ACK
6.199511750000000,81,0xD0,0x16,Write,ACK
6.199727750000000,81,0xD0,0x55,Write,ACK
6.199944000000000,81,0xD0,0x00,Write,ACK
6.200160250000000,81,0xD0,0x00,Write,ACK
6.200376500000000,81,0xD0,0x21,Write,ACK
6.200592750000000,81,0xD0,0x82,Write,ACK
6.201150250000000,82,0xD0,0x6D,Write,ACK
6.201366500000000,82,0xD0,0x00,Write,ACK
6.201898000000000,83,0xD0,0x6E,Write,ACK
6.202114000000000,83,0xD0,0x80,Write,ACK
6.202648500000000,84,0xD0,0x6F,Write,ACK
6.203157000000000,85,0xD1,0x41,Read,ACK
6.203373000000000,85,0xD1,0xFF,Read,ACK
6.203589250000000,85,0xD1,0x00,Read,ACK
6.203805500000000,85,0xD1,0x00,Read,ACK
6.204021500000000,85,0xD1,0x00,Read,ACK
6.204237750000000,85,0xD1,0x00,Read,ACK
6.204453750000000,85,0xD1,0x0B,Read,ACK
6.204670000000000,85,0xD1,0x2A,Read,ACK
6.204886250000000,85,0xD1,0x00,Read,ACK
6.205102250000000,85,0xD1,0x00,Read,ACK
6.205318500000000,85,0xD1,0x16,Read,ACK
6.205534750000000,85,0xD1,0x55,Read,ACK
6.205751000000000,85,0xD1,0x00,Read,ACK
6.205967000000000,85,0xD1,0x00,Read,ACK
6.206183250000000,85,0xD1,0x21,Read,ACK
6.206399500000000,85,0xD1,0x82,Read,NAK
6.207390250000000,86,0xD0,0x6D,Write,ACK
6.207606250000000,86,0xD0,0x00,Write,ACK
6.208137750000000,87,0xD0,0x6E,Write,ACK
6.208354000000000,87,0xD0,0x90,Write,ACK
6.209401000000000,88,0xD0,0x6F,Write,ACK
6.209617000000000,88,0xD0,0xFD,Write,ACK
6.209833250000000,88,0xD0,0x87,Write,ACK
6.210049500000000,88,0xD0,0x26,Write,ACK
6.210265750000000,88,0xD0,0x50,Write,ACK
6.210482000000000,88,0xD0,0xFD,Write,ACK
6.210698000000000,88,0xD0,0x80,Write,ACK
6.210914500000000,88,0xD0,0x00,Write,ACK
6.211130750000000,88,0xD0,0x00,Write,ACK
6.211347000000000,88,0xD0,0x00,Write,ACK
6.211563000000000,88,0xD0,0x1F,Write,ACK
6.211779250000000,88,0xD0,0x00,Write,ACK
6.211995500000000,88,0xD0,0x00,Write,ACK
6.212211750000000,88,0xD0,0x00,Write,ACK
6.212428000000000,88,0xD0,0x05,Write,ACK
6.212644250000000,88,0xD0,0x80,Write,ACK
6.212860500000000,88,0xD0,0x00,Write,ACK
6.213418000000000,89,0xD0,0x6D,Write,ACK
6.213634250000000,89,0xD0,0x00,Write,ACK
6.214165750000000,90,0xD0,0x6E,Write,ACK
6.214382000000000,90,0xD0,0x90,Write,ACK
6.214916750000000,91,0xD0,0x6F,Write,ACK
6.215425000000000,92,0xD1,0xFD,Read,ACK
6.215641250000000,92,0xD1,0x87,Read,ACK
6.215857500000000,92,0xD1,0x26,Read,ACK
6.216073500000000,92,0xD1,0x50,Read,ACK
6.216289750000000,92,0xD1,0xFD,Read,ACK
6.216505750000000,92,0xD1,0x80,Read,ACK
6.216722000000000,92,0xD1,0x00,Read,ACK
6.216938000000000,92,0xD1,0x00,Read,ACK
6.217154250000000,92,0xD1,0x00,Read,ACK
6.217370250000000,92,0xD1,0x1F,Read,ACK
6.217586500000000,92,0xD1,0x00,Read,ACK
6.217802750000000,92,0xD1,0x00,Read,ACK
6.218018750000000,92,0xD1,0x00,Read,ACK
6.218235000000000,92,0xD1,0x05,Read,ACK
6.218451250000000,92,0xD1,0x80,Read,ACK
6.218667250000000,92,0xD1,0x00,Read,NAK
6.219658000000000,93,0xD0,0x6D,Write,ACK
6.219874250000000,93,0xD0,0x00,Write,ACK
6.220405500000000,94,0xD0,0x6E,Write,ACK
6.220621750000000,94,0xD0,0xA0,Write,ACK
6.221668750000000,95,0xD0,0x6F,Write,ACK
6.221884750000000,95,0xD0,0x00,Write,ACK
6.222101000000000,95,0xD0,0x00,Write,ACK
6.222317250000000,95,0xD0,0x00,Write,ACK
6.222533500000000,95,0xD0,0x00,Write,ACK
6.222749500000000,95,0xD0,0x00,Write,ACK
6.222965750000000,95,0xD0,0x01,Write,ACK
6.223182000000000,95,0xD0,0x00,Write,ACK
6.223398000000000,95,0xD0,0x00,Write,ACK
6.223614250000000,95,0xD0,0x00,Write,ACK
6.223830250000000,95,0xD0,0x02,Write,ACK
6.224046500000000,95,0xD0,0x00,Write,ACK
6.224262750000000,95,0xD0,0x00,Write,ACK
6.224478750000000,95,0xD0,0x00,Write,ACK
6.224695000000000,95,0xD0,0x03,Write,ACK
6.224911250000000,95,0xD0,0x00,Write,ACK
6.225127500000000,95,0xD0,0x00,Write,ACK
6.225684750000000,96,0xD0,0x6D,Write,ACK
6.225901000000000,96,0xD0,0x00,Write,ACK
6.226432500000000,97,0xD0,0x6E,Write,ACK
6.226648500000000,97,0xD0,0xA0,Write,ACK
6.227183000000000,98,0xD0,0x6F,Write,ACK
6.227691500000000,99,0xD1,0x00,Read,ACK
6.227907500000000,99,0xD1,0x00,Read,ACK
6.228123750000000,99,0xD1,0x00,Read,ACK
6.228339750000000,99,0xD1,0x00,Read,ACK
6.228556000000000,99,0xD1,0x00,Read,ACK
6.228772250000000,99,0xD1,0x01,Read,ACK
6.228988250000000,99,0xD1,0x00,Read,ACK
6.229204500000000,99,0xD1,0x00,Read,ACK
6.229420750000000,99,0xD1,0x00,Read,ACK
6.229636750000000,99,0xD1,0x02,Read,ACK
6.229853000000000,99,0xD1,0x00,Read,ACK
6.230069250000000,99,0xD1,0x00,Read,ACK
6.230285500000000,99,0xD1,0x00,Read,ACK
6.230501750000000,99,0xD1,0x03,Read,ACK
6.230717750000000,99,0xD1,0x00,Read,ACK
6.230934000000000,99,0xD1,0x00,Read,NAK
6.231924750000000,100,0xD0,0x6D,Write,ACK
6.232141000000000,100,0xD0,0x00,Write,ACK
6.232672500000000,101,0xD0,0x6E,Write,ACK
6.232888500000000,101,0xD0,0xB0,Write,ACK
6.233935500000000,102,0xD0,0x6F,Write,ACK
6.234151750000000,102,0xD0,0x40,Write,ACK
6.234368000000000,102,0xD0,0x00,Write,ACK
6.234584250000000,102,0xD0,0x00,Write,ACK
6.234800250000000,102,0xD0,0x00,Write,ACK
6.235016500000000,102,0xD0,0x00,Write,ACK
6.235232750000000,102,0xD0,0x00,Write,ACK
6.235448750000000,102,0xD0,0x04,Write,ACK
6.235665000000000,102,0xD0,0x6F,Write,ACK
6.235881250000000,102,0xD0,0x00,Write,ACK
6.236097250000000,102,0xD0,0x02,Write,ACK
6.236313500000000,102,0xD0,0x65,Write,ACK
6.236529750000000,102,0xD0,0x32,Write,ACK
6.236746000000000,102,0xD0,0x00,Write,ACK
6.236962000000000,102,0xD0,0x00,Write,ACK
6.237178250000000,102,0xD0,0x5E,Write,ACK
6.237394500000000,102,0xD0,0xC0,Write,ACK
6.237951750000000,103,0xD0,0x6D,Write,ACK
6.238168000000000,103,0xD0,0x00,Write,ACK
6.238699500000000,104,0xD0,0x6E,Write,ACK
6.238915500000000,104,0xD0,0xB0,Write,ACK
6.239450000000000,105,0xD0,0x6F,Write,ACK
6.239958500000000,106,0xD1,0x40,Read,ACK
6.240174500000000,106,0xD1,0x00,Read,ACK
6.240390750000000,106,0xD1,0x00,Read,ACK
6.240606750000000,106,0xD1,0x00,Read,ACK
6.240823000000000,106,0xD1,0x00,Read,ACK
6.241039250000000,106,0xD1,0x00,Read,ACK
6.241255250000000,106,0xD1,0x04,Read,ACK
6.241471500000000,106,0xD1,0x6F,Read,ACK
6.241687750000000,106,0xD1,0x00,Read,ACK
