Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.079834,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.08005025,I2C,'255',(0xFF),+,ACK,,,
0.0802665,I2C,o,(0x6F),+,ACK,,,
0.08048275,I2C,'254',(0xFE),+,ACK,,,
0.080699,I2C,'232',(0xE8),+,ACK,,,
0.08091525,I2C,'255',(0xFF),+,ACK,,,
0.0811315,I2C,r,(0x72),+,NAK,,,
0.08151,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.08172625,I2C,C,(0x43),+,ACK,,,
0.0819785,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.08219475,I2C,'255',(0xFF),+,ACK,,,
0.082411,I2C,a,(0x61),+,ACK,,,
0.08262725,I2C,'254',(0xFE),+,ACK,,,
0.0828435,I2C,'229',(0xE5),+,ACK,,,
0.08306,I2C,'255',(0xFF),+,ACK,,,
0.08327625,I2C,c,(0x63),+,NAK,,,
0.08365475,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.083871,I2C,C,(0x43),+,ACK,,,
0.08412325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.08433975,I2C,'255',(0xFF),+,ACK,,,
0.084556,I2C,g,(0x67),+,ACK,,,
0.08477225,I2C,'254',(0xFE),+,ACK,,,
0.0849885,I2C,'224',(0xE0),+,ACK,,,
0.08520475,I2C,'255',(0xFF),+,ACK,,,
0.085421,I2C,b,(0x62),+,NAK,,,
0.0857995,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.08601575,I2C,C,(0x43),+,ACK,,,
0.086268,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0864845,I2C,'255',(0xFF),+,ACK,,,
0.08670075,I2C,i,(0x69),+,ACK,,,
0.086917,I2C,'255',(0xFF),+,ACK,,,
0.087133,I2C,'3',(0x03),+,ACK,,,
0.0873495,I2C,'255',(0xFF),+,ACK,,,
0.08756575,I2C,r,(0x72),+,NAK,,,
0.08794425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0881605,I2C,C,(0x43),+,ACK,,,
0.08841325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0886295,I2C,'255',(0xFF),+,ACK,,,
0.08884575,I2C,'153',(0x99),+,ACK,,,
0.089062,I2C,'254',(0xFE),+,ACK,,,
0.08927825,I2C,'219',(0xDB),+,ACK,,,
0.0894945,I2C,'255',(0xFF),+,ACK,,,
0.08971075,I2C,'128',(0x80),+,NAK,,,
0.09008925,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0903055,I2C,C,(0x43),+,ACK,,,
0.090558,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.09077425,I2C,'255',(0xFF),+,ACK,,,
0.0909905,I2C,p,(0x70),+,ACK,,,
0.09120675,I2C,'254',(0xFE),+,ACK,,,
0.09142325,I2C,'197',(0xC5),+,ACK,,,
0.0916395,I2C,'255',(0xFF),+,ACK,,,
0.09185575,I2C,Y,(0x59),+,NAK,,,
0.092234,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0924505,I2C,C,(0x43),+,ACK,,,
0.09270275,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.092919,I2C,'255',(0xFF),+,ACK,,,
0.09313525,I2C,'135',(0x87),+,ACK,,,
0.0933515,I2C,'254',(0xFE),+,ACK,,,
0.09356775,I2C,'248',(0xF8),+,ACK,,,
0.093784,I2C,'255',(0xFF),+,ACK,,,
0.09400025,I2C,i,(0x69),+,NAK,,,
0.09437875,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.094595,I2C,C,(0x43),+,ACK,,,
0.0948475,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.09506375,I2C,'255',(0xFF),+,ACK,,,
0.09528,I2C,g,(0x67),+,ACK,,,
0.09549625,I2C,'254',(0xFE),+,ACK,,,
0.0957125,I2C,'227',(0xE3),+,ACK,,,
0.09592875,I2C,'255',(0xFF),+,ACK,,,
0.096145,I2C,X,(0x58),+,NAK,,,
0.0965235,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.09673975,I2C,C,(0x43),+,ACK,,,
0.09699225,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0972085,I2C,'255',(0xFF),+,ACK,,,
0.09742475,I2C,t,(0x74),+,ACK,,,
0.097641,I2C,'255',(0xFF),+,ACK,,,
0.09785725,I2C,\t,(0x09),+,ACK,,,
0.09807375,I2C,'255',(0xFF),+,ACK,,,
0.09829,I2C,B,(0x42),+,NAK,,,
0.0986685,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.09888475,I2C,C,(0x43),+,ACK,,,
0.099137,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.09935325,I2C,'255',(0xFF),+,ACK,,,
0.0995695,I2C,'140',(0x8C),+,ACK,,,
0.099786,I2C,'254',(0xFE),+,ACK,,,
0.10000225,I2C,'250',(0xFA),+,ACK,,,
0.1002185,I2C,'255',(0xFF),+,ACK,,,
0.10043475,I2C,W,(0x57),+,NAK,,,
0.10081325,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.1010295,I2C,C,(0x43),+,ACK,,,
0.101282,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.10149825,I2C,'255',(0xFF),+,ACK,,,
0.10171475,I2C,\,(0x5C),+,ACK,,,
0.101931,I2C,'254',(0xFE),+,ACK,,,
0.1021475,I2C,'224',(0xE0),+,ACK,,,
0.10236375,I2C,'255',(0xFF),+,ACK,,,
0.10258,I2C,d,(0x64),+,NAK,,,
0.10295875,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.103175,I2C,C,(0x43),+,ACK,,,
0.10342725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.10364375,I2C,'255',(0xFF),+,ACK,,,
0.10386,I2C,},(0x7D),+,ACK,,,
0.10407625,I2C,'254',(0xFE),+,ACK,,,
